TIMESTAMPms	M4ATTITUDEroll	M4ATTITUDErollspeed
4307	1.698954962193966e-02	-2.621521707624197e-03
4319	1.701978966593742e-02	-2.919611055403948e-03
4331	1.704118400812149e-02	-3.910776227712631e-03
4343	1.705332659184933e-02	-3.362352959811687e-03
4355	1.707722991704941e-02	-3.115155966952443e-03
4367	1.710767298936844e-02	-2.046874258667231e-03
4379	1.712602563202381e-02	-4.637591075152159e-03
4391	1.713633351027966e-02	-3.803089261054993e-03
4403	1.714696176350117e-02	-3.451003693044186e-03
4415	1.716386899352074e-02	-3.677151631563902e-03
4427	1.718964613974094e-02	-2.044869586825371e-03
4435	1.720959134399891e-02	-2.300502266734838e-03
4447	1.722609810531139e-02	-4.336796235293150e-03
4459	1.725045405328274e-02	-2.786268712952733e-03
4471	1.728928461670876e-02	-1.711718039587140e-03
4483	1.732012815773487e-02	-2.741415519267321e-03
4495	1.734368316829205e-02	-3.823693841695786e-03
4507	1.735950261354446e-02	-3.883501980453730e-03
4519	1.737749949097633e-02	-3.738506464287639e-03
4531	1.740144193172455e-02	-2.252209698781371e-03
4543	1.741099730134010e-02	-4.397099837660789e-03
4559	1.743271015584469e-02	-3.819178324192762e-03
4571	1.744512468576431e-02	-3.852604888379574e-03
4583	1.745451055467129e-02	-3.893765853717923e-03
4595	1.746417582035065e-02	-4.053693264722824e-03
4607	1.749106124043465e-02	-2.198142465204000e-03
4619	1.750204153358936e-02	-4.473151639103889e-03
4631	1.752050779759884e-02	-2.740653464570642e-03
4643	1.754154078662395e-02	-2.865675371140242e-03
4655	1.755505800247192e-02	-3.745760302990675e-03
4667	1.756448112428188e-02	-3.792887087911367e-03
4679	1.757886447012424e-02	-2.972615184262395e-03
4691	1.759612932801247e-02	-3.352312836796045e-03
4703	1.761744357645512e-02	-2.910477109253407e-03
4715	1.764740236103535e-02	-1.975370571017265e-03
4727	1.767251826822758e-02	-2.183395670726895e-03
4739	1.769485697150230e-02	-3.018177580088377e-03
4751	1.769910939037800e-02	-4.568821750581264e-03
4763	1.769880019128323e-02	-4.822292365133762e-03
4775	1.771126873791218e-02	-3.767375834286213e-03
4787	1.772810891270638e-02	-3.921253606677055e-03
4799	1.774229481816292e-02	-3.945686388760805e-03
4811	1.776327192783356e-02	-3.286629449576139e-03
4823	1.777001097798347e-02	-4.691010341048241e-03
4835	1.778718456625938e-02	-3.646411467343569e-03
4847	1.779165677726269e-02	-3.660083981230855e-03
4859	1.780636049807072e-02	-3.979010507464409e-03
4871	1.781500503420830e-02	-3.675843589007854e-03
4883	1.782955788075924e-02	-3.643656382337213e-03
4895	1.784302480518818e-02	-3.637877060100436e-03
4907	1.785420253872871e-02	-3.845277940854430e-03
4919	1.785746589303017e-02	-3.985118120908737e-03
4931	1.787263713777065e-02	-3.314911387860775e-03
4943	1.788762211799622e-02	-3.549041459336877e-03
4955	1.790710166096687e-02	-3.642696188762784e-03
4967	1.791701838374138e-02	-3.616508794948459e-03
4979	1.793137378990650e-02	-3.425304545089602e-03
4991	1.793077029287815e-02	-4.318155348300934e-03
5003	1.793869026005268e-02	-4.011410288512707e-03
5015	1.794983819127083e-02	-3.573802765458822e-03
5027	1.797896809875965e-02	-1.384510193020105e-03
5039	1.800669357180595e-02	-2.572230761870742e-03
5051	1.802964322268963e-02	-3.497290657833219e-03
5063	1.804786361753941e-02	-3.875304944813251e-03
5075	1.806570217013359e-02	-2.753416076302528e-03
5087	1.808571256697178e-02	-3.881674725562334e-03
5099	1.810665614902973e-02	-2.727778395637870e-03
5111	1.811983995139599e-02	-3.008993808180094e-03
5127	1.813945174217224e-02	-3.954987041652203e-03
5139	1.814869232475758e-02	-3.840761957690120e-03
5152	1.815996132791042e-02	-3.221139311790466e-03
5161	1.816784776747227e-02	-3.504890250042081e-03
5173	1.817641779780388e-02	-3.437330480664968e-03
5185	1.818868890404701e-02	-3.604681696742773e-03
5201	1.820720359683037e-02	-2.560740103945136e-03
5213	1.823430322110653e-02	-3.484201617538929e-03
5225	1.824664510786533e-02	-4.009655676782131e-03
5237	1.826337352395058e-02	-3.406715113669634e-03
5249	1.826661825180054e-02	-4.461874719709158e-03
5261	1.828515343368053e-02	-3.500675549730659e-03
5273	1.830765418708324e-02	-2.485919743776321e-03
5285	1.832008361816406e-02	-3.873987589031458e-03
5297	1.833871193230152e-02	-2.405155915766954e-03
5309	1.835508085787296e-02	-2.421750687062740e-03
5321	1.836977340281010e-02	-3.471415722742677e-03
5333	1.839208230376244e-02	-2.682956401258707e-03
5345	1.841807924211025e-02	-3.414274193346500e-03
5357	1.844232901930809e-02	-2.984816674143076e-03
5369	1.846191287040710e-02	-3.382844384759665e-03
5381	1.847231574356556e-02	-3.502683714032173e-03
5393	1.849873922765255e-02	-1.756272511556745e-03
5405	1.850662566721439e-02	-3.651489038020372e-03
5417	1.853230595588684e-02	-2.217634581029415e-03
5429	1.855536177754402e-02	-3.380564739927649e-03
5441	1.856337860226631e-02	-3.693185746669769e-03
5453	1.857483573257923e-02	-3.408902557566762e-03
5465	1.858395896852016e-02	-3.429510397836566e-03
5477	1.859592273831367e-02	-3.464267123490572e-03
5489	1.859847828745842e-02	-4.320084583014250e-03
5501	1.860793307423592e-02	-3.035288536921144e-03
5517	1.863051578402519e-02	-3.386466298252344e-03
5525	1.863888651132584e-02	-3.336618188768625e-03
5537	1.865117624402046e-02	-3.603151999413967e-03
5549	1.866486482322216e-02	-3.278506686910987e-03
5561	1.869116164743900e-02	-2.357323886826634e-03
5573	1.870579086244106e-02	-2.743671648204327e-03
5585	1.871476136147976e-02	-3.831791225820780e-03
5597	1.873866654932499e-02	-2.241158625110984e-03
5609	1.876177638769150e-02	-2.281489083543420e-03
5621	1.877471432089806e-02	-3.823717124760151e-03
5633	1.878691837191582e-02	-3.814680967479944e-03
5645	1.879583485424519e-02	-3.179569263011217e-03
5657	1.881686598062515e-02	-2.745410427451134e-03
5665	1.883220300078392e-02	-2.257114276289940e-03
5677	1.885783113539219e-02	-1.457090023905039e-03
5693	1.889304071664810e-02	-2.463873010128736e-03
5705	1.891459710896015e-02	-2.541160909458995e-03
5717	1.894331350922585e-02	-2.884583547711372e-03
5729	1.896411925554276e-02	-2.930180868133903e-03
5741	1.898667775094509e-02	-3.058047965168953e-03
5753	1.899417489767075e-02	-4.773334600031376e-03
5765	1.901170983910561e-02	-3.239351557567716e-03
5778	1.903014071285725e-02	-3.449982265010476e-03
5790	1.905703730881214e-02	-1.521530095487833e-03
5802	1.907995343208313e-02	-3.807178232818842e-03
5814	1.907913945615292e-02	-3.149258205667138e-03
5826	1.909104734659195e-02	-4.206503741443157e-03
5838	1.909594610333443e-02	-3.843059530481696e-03
5850	1.910561136901379e-02	-4.256026353687048e-03
5862	1.910633221268654e-02	-3.546584164723754e-03
5874	1.911714673042297e-02	-2.533194376155734e-03
5886	1.913059316575527e-02	-2.965544816106558e-03
5898	1.913934201002121e-02	-4.154424183070660e-03
5910	1.915057376027107e-02	-3.327521961182356e-03
5922	1.917078159749508e-02	-1.622289186343551e-03
5930	1.918152719736099e-02	-3.051275154575706e-03
5942	1.919432170689106e-02	-3.754862817004323e-03
5958	1.920546032488346e-02	-3.431698773056269e-03
5970	1.921445131301880e-02	-3.101895097643137e-03
5982	1.923006959259510e-02	-2.114997012540698e-03
5994	1.924117282032967e-02	-2.512467326596379e-03
6006	1.926340907812119e-02	-2.056568162515759e-03
6018	1.927905716001987e-02	-2.357252873480320e-03
6030	1.929315924644470e-02	-2.920296741649508e-03
6038	1.930847018957138e-02	-2.062588231638074e-03
6050	1.932207494974136e-02	-3.055960638448596e-03
6066	1.934688165783882e-02	-3.124751849099994e-03
6078	1.935190707445145e-02	-3.194726537913084e-03
6090	1.936390809714794e-02	-3.293495159596205e-03
6102	1.937738992273808e-02	-3.082184586673975e-03
6114	1.939140446484089e-02	-2.062045736238360e-03
6126	1.940389163792133e-02	-3.045638557523489e-03
6138	1.941694505512714e-02	-3.060165559872985e-03
6150	1.943511702120304e-02	-2.428761450573802e-03
6162	1.944850012660027e-02	-3.049386898055673e-03
6174	1.945938356220722e-02	-2.831330522894859e-03
6186	1.948208175599575e-02	-2.108891028910875e-03
6198	1.950602792203426e-02	-2.367962151765823e-03
6210	1.951634511351585e-02	-2.968181855976582e-03
6222	1.953015103936195e-02	-3.638827241957188e-03
6234	1.953450217843056e-02	-2.757374430075288e-03
6246	1.954100281000137e-02	-4.161245189607143e-03
6258	1.954633183777332e-02	-3.006366780027747e-03
6270	1.957301422953606e-02	-1.721497625112534e-03
6282	1.958679966628551e-02	-3.002128796651959e-03
6294	1.960220560431480e-02	-2.459435025230050e-03
6306	1.962211728096008e-02	-2.035610610619187e-03
6318	1.964290626347065e-02	-2.786641241982579e-03
6330	1.966968551278114e-02	-1.977346139028668e-03
6342	1.969222538173199e-02	-3.042097669094801e-03
6354	1.969954185187817e-02	-2.529604826122522e-03
6366	1.971756853163242e-02	-2.296834485605359e-03
6374	1.972899213433266e-02	-2.921407343819737e-03
6386	1.974328793585300e-02	-3.375069936737418e-03
6398	1.975909806787968e-02	-1.923270989209414e-03
6410	1.977265812456608e-02	-3.661213908344507e-03
6422	1.978459022939205e-02	-2.899006474763155e-03
6434	1.981398649513721e-02	-8.679868187755346e-04
